position,title,slug,price,offer,product_link
52,Benetton United Dreams Live Free EDT 80ML Spray For Women,womens-fragrance,"2,249",-20%,https://www.pickaboo.com/product-detail/benetton-united-dreams-live-free-edt-80ml-spray-for-women/
53,Benetton United Dreams Love Yourself EDT 80ml for Women,womens-fragrance,"2,249",-20%,https://www.pickaboo.com/product-detail/benetton-united-dreams-love-yourself-edt-80ml-for-women/
54,Paco Rabanne Pure XS EDP 80ML for Women,womens-fragrance,"5,799",-11%,https://www.pickaboo.com/product-detail/paco-rabanne-pure-xs-edp-80ml-for-women/
55,Benetton Colors Rose For Her EDT 80ML SPRAY,womens-fragrance,"2,199",-22%,https://www.pickaboo.com/product-detail/benetton-colors-rose-for-her-edt-80ml-spray/
56,Benetton Colors Purple EDT 80ml for Her,womens-fragrance,"2,249",-20%,https://www.pickaboo.com/product-detail/benetton-colors-purple-edt-80ml-for-her/
57,Lattafa Raghba EDP 100ML For Unisex,womens-fragrance,"1,999",-21%,https://www.pickaboo.com/product-detail/lattafa-raghba-edp-100ml-for-unisex/
58,Christian Dior Hypnotic Poison EDP 100Ml for Women,womens-fragrance,"16,899",-6%,https://www.pickaboo.com/product-detail/christian-dior-hypnotic-poison-edp-100ml-for-women/
59,Victoria's Secret Rush Body Mist for Women 250ML,womens-fragrance,"1,449",-22%,https://www.pickaboo.com/product-detail/victoria-s-secret-rush-body-mist-for-women-250ml/
60,Marquis Pour Femme by Remy Marquis EDP 100ML for Women,womens-fragrance,"1,649",-24%,https://www.pickaboo.com/product-detail/marquis-pour-femme-by-remy-marquis-edp-100ml-for-women/
61,Armaf Derby Club House Santa Anita EDP 100ML For Women,womens-fragrance,"2,999",-15%,https://www.pickaboo.com/product-detail/armaf-derby-club-house-edp-100ml-for-women/
62,Issey Miyake L'eau Daisy EDT 100ML for Women,womens-fragrance,"6,499",-14%,https://www.pickaboo.com/product-detail/issey-miyake-l-eau-daisy-edt-100ml-for-women/
63,Benetton Colours Pink Women EDT 80ML,womens-fragrance,"2,199",-22%,https://www.pickaboo.com/product-detail/benetton-colours-pink-women-edt-80ml/
64,Antonio Banderas the Secret Temptation Her EDT 80ML for Women,womens-fragrance,"2,399",-15%,https://www.pickaboo.com/product-detail/antonio-banderas-the-secret-temptation-her-edt-80ml-for-women/
65,Versace Bright Crystal EDT 5ML for Women,womens-fragrance,"1,249",-33%,https://www.pickaboo.com/product-detail/versace-bright-crystal-edt-5ml-for-women/
66,Versace Yellow Diamond EDT 90Ml for Women,womens-fragrance,"7,499",-6%,https://www.pickaboo.com/product-detail/versace-yellow-diamond-edt-90ml-for-women/
67,Burberry London EDP 100ML For Women,womens-fragrance,"4,099",-13%,https://www.pickaboo.com/product-detail/burberry-london-edp-100ml-for-women/
68,Charlie Blue by Revlon EDT 100ML for Women,womens-fragrance,989,-18%,https://www.pickaboo.com/product-detail/charlie-blue-by-revlon-edt-100ml-for-women/
69,Charlie Gold by Revlon EDT 100ML for Women,womens-fragrance,989,-18%,https://www.pickaboo.com/product-detail/charlie-gold-by-revlon-edt-100ml-for-women/
